,author_id,public_metrics,text,created_at,id
38,1493264171705765890,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 3, 'quote_count': 0}","@GuillermoDeHaro @moquintana @HeavyMental_es @DavidAlayon @Recuenco @_miki @TheBridge_Tech Fimarme las patas, me suena a romperme las piernas y firmarme la escayoala! en qué estais pensando??? https://t.co/RwITuAdVOU",2022-06-28T12:59:36.000Z,1541768275146719233
39,1493264171705765890,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}",@moquintana @GuillermoDeHaro @HeavyMental_es @DavidAlayon @Recuenco @_miki @TheBridge_Tech Por supuesto! 😉,2022-06-28T12:50:15.000Z,1541765922775498756
40,803255406,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 6, 'quote_count': 0}","@Mulder01198676 @GuillermoDeHaro @HeavyMental_es @DavidAlayon @Recuenco @_miki @TheBridge_Tech ¡Ahí, ahí, nuestro libro jugando con la primera liga! 
En cuanto a la firma, por supuesto que sí. Te podemos firmar la mesa, también 🤣",2022-06-28T12:48:40.000Z,1541765527051304960
41,779234238977675264,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}","@Recuenco @PauMugarra @HeavyMental_es @DavidAlayon @_miki @GuillermoDeHaro @TheBridge_Tech La edad no perdona, en cuclillas te caías...y te has tenido que sujetar, con cierto estilo, lo reconozco. Enhorabuena por la jornada",2022-06-28T11:54:26.000Z,1541751877213331459
42,1493264171705765890,"{'retweet_count': 1, 'reply_count': 1, 'like_count': 6, 'quote_count': 0}","@GuillermoDeHaro @HeavyMental_es @DavidAlayon @Recuenco @_miki @TheBridge_Tech Pues ya tengo para las otras 3 patas 🤣
 
@DavidAlayon @moquintana teneis una firma pendiente para uno de estos 😉 https://t.co/sXd1RPXmTi",2022-06-28T11:53:07.000Z,1541751543770357763
43,1493264171705765890,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 3, 'quote_count': 0}","@HeavyMental_es @DavidAlayon @Recuenco @_miki @GuillermoDeHaro @TheBridge_Tech Joder, estoy encantado de haber sido el más tonto de ESA habitación! https://t.co/NDcYvsfaKV",2022-06-28T11:46:04.000Z,1541749770208911360
44,147255980,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 5, 'quote_count': 0}","@HeavyMental_es @DavidAlayon @Recuenco @_miki @GuillermoDeHaro @TheBridge_Tech Recuenco haciendo Break dance, lo próximo beatbox",2022-06-28T11:01:38.000Z,1541738588190216198
45,401397656,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",@PauMugarra @HeavyMental_es @DavidAlayon @Recuenco @_miki @GuillermoDeHaro @TheBridge_Tech Nunca dejará de ser el Enfant terrible,2022-06-28T10:47:39.000Z,1541735069995376640
46,276656109,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 12, 'quote_count': 0}",@HeavyMental_es @DavidAlayon @Recuenco @_miki @GuillermoDeHaro @TheBridge_Tech Recuenco pose https://t.co/5likSnfZUI,2022-06-28T08:43:08.000Z,1541703736749424641
47,1255794072280842240,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",@Mulder01198676 @PauMugarra @DavidAlayon @Recuenco @_miki @GuillermoDeHaro @TheBridge_Tech Sí a todo,2022-06-28T07:50:34.000Z,1541690507600056320
48,1493264171705765890,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 5, 'quote_count': 0}",@PauMugarra @HeavyMental_es @DavidAlayon @Recuenco @_miki @GuillermoDeHaro @TheBridge_Tech Aterrizaje de superheroe. https://t.co/eogE03ZSwR,2022-06-28T07:19:59.000Z,1541682809370300417
49,1043115222,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}",@Recuenco @PauMugarra @HeavyMental_es @DavidAlayon @_miki @GuillermoDeHaro @TheBridge_Tech https://t.co/nvnvqHVF9u,2022-06-28T07:13:03.000Z,1541681065802309632
50,7154412,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 1, 'quote_count': 0}",@PauMugarra @HeavyMental_es @DavidAlayon @_miki @GuillermoDeHaro @TheBridge_Tech Que intentaba no tapar a nadie de detrás.,2022-06-28T06:55:17.000Z,1541676593323573249
51,15993641,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}","@Recuenco Que guay, supervisora de lujo y buen sitio. Saludos a los amigos de @TheBridge_Tech @nodosenlared",2022-06-28T06:51:45.000Z,1541675702487072768
52,1003872445,"{'retweet_count': 0, 'reply_count': 3, 'like_count': 2, 'quote_count': 0}",@HeavyMental_es @DavidAlayon @Recuenco @_miki @GuillermoDeHaro @TheBridge_Tech Qué le pasa a Javier en la foto? Esa pose no es normal 🙈,2022-06-28T06:48:31.000Z,1541674892390719490
53,212364786,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 10, 'quote_count': 0}","Gracias @HeavyMental_es por la elocuencia de @Recuenco, la disciplina de @DavidAlayon, y la perfecta felicidad de @_miki para crear el ágora en @TheBridge_Tech: @GuillermoDeHaro @jatorrero @PedroAeriaa @mevasjimenez @joobid @marianosarmient @fyustas1 @_sergiosanjuan y otros 42👏 https://t.co/iPKI9axebY",2022-06-27T23:23:58.000Z,1541563017241976835
54,1255794072280842240,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",@Bombabarros @Mulder01198676 @_miki @Recuenco @DavidAlayon @GuillermoDeHaro @moquintana @TheBridge_Tech Gracias por venir y buen viaje de vuelta… eres top!!,2022-06-27T23:05:58.000Z,1541558488001822725
55,230190180,"{'retweet_count': 1, 'reply_count': 1, 'like_count': 6, 'quote_count': 0}","@HeavyMental_es @Mulder01198676 Resultado apabullante de los locales, el público enloqueció con el juego de su equipo y no dejaron de animar hasta que fueron desalojados.
Muchísimas gracias!!!
@HeavyMental_es @_miki
@Recuenco @DavidAlayon @GuillermoDeHaro
@moquintana
@TheBridge_Tech https://t.co/osw6AlqUgq",2022-06-27T23:02:57.000Z,1541557726777692161
56,276656109,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 8, 'quote_count': 0}",@designetworking @GuillermoDeHaro @HeavyMental_es @Recuenco @TheBridge_Tech Pero debo reconocer que el premio por preguntar sobre la influencia de El Pollo Pepe en la obra literaria de @Recuenco y @GuillermoDeHaro ha merecido la pena. @HeavyMental_es fidelis 🤘 https://t.co/0bmUpQuoBN,2022-06-27T20:46:24.000Z,1541523364094906370
57,212364786,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","@joobid @GuillermoDeHaro @HeavyMental_es @Recuenco @TheBridge_Tech Inspiración para innovar. La clave no es quien inventa, si no, quién traduce a la masa citando a quien inventa.",2022-06-27T18:59:33.000Z,1541496472541315073
58,276656109,"{'retweet_count': 2, 'reply_count': 2, 'like_count': 11, 'quote_count': 0}","@designetworking @GuillermoDeHaro @HeavyMental_es @Recuenco @TheBridge_Tech Alguien tenía que preguntarlo. No quiero hablar de plagio, que es palabra gruesa, pero buena parte de los fundamentos del libro de @GuillermoDeHaro y @Recuenco estaba ya en El Pollo Pepe. Y lo saben https://t.co/Jtt4XVIsCT",2022-06-27T18:53:12.000Z,1541494873265676289
59,212364786,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",Primera micro clase de un profe de @TheBridge_Tech a los @HeavyMental_es &amp; @GuillermoDeHaro https://t.co/r9T6R29Sg2,2022-06-27T18:49:06.000Z,1541493843316580354
